"","id","alltrial","experiment","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"68","anon14_point","8","cue_strength_between","point","Monkey","t4","t12","inner","t12","left","6",1593,0
"69","anon14_point","9","cue_strength_between","point","Sheep","t16","t8","inner","t8","right","7",2665,1
"70","anon14_point","10","cue_strength_between","point","Cat","t14","t10","inner","t10","right","8",1081,1
"71","anon2_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",4039,1
"72","anon2_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4438,1
"73","anon2_point","3","cue_strength_between","point","Cat","t10","t4","inner","t10","left","1",1916,1
"74","anon2_point","4","cue_strength_between","point","Frog","t12","t1","inner","t1","right","2",1025,1
"75","anon2_point","5","cue_strength_between","point","Bunny","t5","t16","outer","t5","right","3",1165,0
"76","anon2_point","6","cue_strength_between","point","Tiger","t6","t3","outer","t6","right","4",771,0
"77","anon2_point","7","cue_strength_between","point","Monkey","t11","t15","inner","t11","left","5",690,1
"78","anon2_point","8","cue_strength_between","point","Bear","t7","t14","inner","t14","right","6",838,1
"79","anon2_point","9","cue_strength_between","point","Dog","t8","t17","inner","t8","left","7",654,1
"80","anon2_point","10","cue_strength_between","point","Elephant","t9","t2","outer","t2","left","8",1517,0
"81","anon3_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5926,1
"82","anon3_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",5816,1
"83","anon3_point","3","cue_strength_between","point","Elephant","t10","t15","inner","t15","right","1",2658,1
"84","anon3_point","4","cue_strength_between","point","Bear","t9","t8","outer","t8","right","2",1379,1
"85","anon3_point","5","cue_strength_between","point","Pig","t5","t17","outer","t17","right","3",1527,1
"86","anon3_point","6","cue_strength_between","point","Frog","t7","t14","inner","t7","left","4",1868,1
"87","anon3_point","7","cue_strength_between","point","Bunny","t12","t1","inner","t12","left","5",1773,1
"88","anon3_point","8","cue_strength_between","point","Monkey","t2","t3","inner","t2","left","6",1124,1
"89","anon3_point","9","cue_strength_between","point","Dog","t16","t4","outer","t4","right","7",1187,1
"90","anon3_point","10","cue_strength_between","point","Mouse","t11","t6","inner","t11","left","8",1079,1
"91","anon4_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",8024,1
"92","anon4_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4414,1
"93","anon4_point","3","cue_strength_between","point","Mouse","t6","t11","inner","t11","right","1",4088,1
"94","anon4_point","4","cue_strength_between","point","Bunny","t2","t9","inner","t2","right","2",5763,0
"95","anon4_point","5","cue_strength_between","point","Frog","t12","t3","outer","t12","left","3",3907,1
"96","anon4_point","6","cue_strength_between","point","Monkey","t1","t16","inner","t16","right","4",4030,1
"97","anon4_point","7","cue_strength_between","point","Pig","t14","t10","inner","t10","right","5",2932,1
"98","anon4_point","8","cue_strength_between","point","Dog","t15","t7","inner","t15","left","6",5813,1
"99","anon4_point","9","cue_strength_between","point","Tiger","t4","t8","outer","t4","left","7",2489,1
"100","anon4_point","10","cue_strength_between","point","Sheep","t5","t17","inner","t5","left","8",1747,1
"101","anon5_label","1","cue_strength_between","label","Elephant","car","bear","inner","bear","left","train",6543,0
"102","anon5_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",6959,1
"103","anon5_point","3","cue_strength_between","point","Tiger","t8","t14","outer","t8","right","1",2247,0
"104","anon5_point","4","cue_strength_between","point","Monkey","t16","t9","inner","t16","left","2",1266,1
"105","anon5_point","5","cue_strength_between","point","Bunny","t3","t11","outer","t3","right","3",1459,0
"106","anon5_point","6","cue_strength_between","point","Sheep","t6","t2","inner","t6","left","4",1110,1
"107","anon5_point","7","cue_strength_between","point","Pig","t15","t1","inner","t15","left","5",1059,1
"108","anon5_point","8","cue_strength_between","point","Mouse","t12","t10","outer","t12","right","6",1015,0
"109","anon5_point","9","cue_strength_between","point","Dog","t7","t5","inner","t7","left","7",1016,1
