"","id","alltrial","experiment","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"69","anon14_look","9","cue_strength_between","look","Cat","t1","t8","inner","t1","left","7",1438,1
"70","anon14_look","10","cue_strength_between","look","Sheep","t4","t11","inner","t11","right","8",1222,1
"71","anon2_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5069,1
"72","anon2_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4474,1
"73","anon2_look","3","cue_strength_between","look","Bunny","t11","t17","outer","t11","left","1",4394,1
"74","anon2_look","4","cue_strength_between","look","Frog","t12","t3","inner","t3","right","2",1538,1
"75","anon2_look","5","cue_strength_between","look","Monkey","t4","t15","outer","t4","left","3",1301,1
"76","anon2_look","6","cue_strength_between","look","Pig","t8","t14","inner","t14","right","4",971,1
"77","anon2_look","7","cue_strength_between","look","Mouse","t16","t10","inner","t16","left","5",1186,1
"78","anon2_look","8","cue_strength_between","look","Tiger","t5","t2","inner","t2","right","6",681,1
"79","anon2_look","9","cue_strength_between","look","Sheep","t6","t9","outer","t9","right","7",907,1
"80","anon2_look","10","cue_strength_between","look","Dog","t1","t7","outer","t1","left","8",804,1
"81","anon3_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5841,1
"82","anon3_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",6158,1
"83","anon3_look","3","cue_strength_between","look","Bunny","t16","t9","outer","t16","left","1",6246,1
"84","anon3_look","4","cue_strength_between","look","Cat","t12","t14","outer","t14","right","2",2711,1
"85","anon3_look","5","cue_strength_between","look","Mouse","t2","t6","outer","t6","right","3",1691,1
"86","anon3_look","6","cue_strength_between","look","Tiger","t8","t11","outer","t11","right","4",1597,1
"87","anon3_look","7","cue_strength_between","look","Dog","t1","t7","inner","t7","right","5",1213,1
"88","anon3_look","8","cue_strength_between","look","Monkey","t3","t4","inner","t3","left","6",1072,1
"89","anon3_look","9","cue_strength_between","look","Bear","t15","t10","inner","t15","left","7",1215,1
"90","anon3_look","10","cue_strength_between","look","Sheep","t5","t17","outer","t5","left","8",1145,1
"91","anon4_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5471,1
