"","id","alltrial","experiment","condition","control","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","043551611856fca9785c6317fb92e062","1","cue_strength_controls","label","no","Elephant","car","bear","inner","car","left","train",5512,1
"2","043551611856fca9785c6317fb92e062","2","cue_strength_controls","label","no","Pig","duck","ball","outer","ball","right","train",6009,1
"3","043551611856fca9785c6317fb92e062","3","cue_strength_controls","lookLabel","bar","Beaver","t12","t16","inner","t16","right","1",5274,1
"4","043551611856fca9785c6317fb92e062","4","cue_strength_controls","lookLabel","no","Cat","t2","t3","outer","t3","left","2",5716,0
"5","043551611856fca9785c6317fb92e062","5","cue_strength_controls","lookLabel","abs","Dog","t17","t18","outer","t17","right","3",7354,0
"6","043551611856fca9785c6317fb92e062","6","cue_strength_controls","lookLabel","abs","Elephant","t6","t15","outer","t15","left","4",4150,0
"7","043551611856fca9785c6317fb92e062","7","cue_strength_controls","lookLabel","abs","Frog","t14","t7","outer","t14","right","5",4622,0
"8","043551611856fca9785c6317fb92e062","8","cue_strength_controls","lookLabel","no","Bear","t9","t5","outer","t5","left","6",6172,0
"9","043551611856fca9785c6317fb92e062","9","cue_strength_controls","lookLabel","bar","Mouse","t1","t10","outer","t1","right","7",4717,0
"10","043551611856fca9785c6317fb92e062","10","cue_strength_controls","lookLabel","bar","Monkey","t4","t8","outer","t8","left","8",4379,0
"11","043551611856fca9785c6317fb92e062","11","cue_strength_controls","lookLabel","no","Sheep","t13","t11","outer","t11","left","9",4574,0
"12","095589b36fa383ef27ab169ca9c38605","1","cue_strength_controls","label","no","Elephant","car","bear","inner","car","left","train",5189,1
"13","095589b36fa383ef27ab169ca9c38605","2","cue_strength_controls","label","no","Pig","duck","ball","outer","ball","right","train",4982,1
"14","095589b36fa383ef27ab169ca9c38605","3","cue_strength_controls","lookLabel","bar","Dog","t12","t18","outer","t18","right","1",5489,1
"15","095589b36fa383ef27ab169ca9c38605","4","cue_strength_controls","lookLabel","bar","Frog","t10","t8","outer","t8","right","2",11512,1
"16","095589b36fa383ef27ab169ca9c38605","5","cue_strength_controls","lookLabel","abs","Elephant","t15","t1","outer","t15","left","3",5217,1
"17","095589b36fa383ef27ab169ca9c38605","6","cue_strength_controls","lookLabel","abs","Bear","t16","t5","inner","t5","right","4",4710,1
"18","095589b36fa383ef27ab169ca9c38605","7","cue_strength_controls","lookLabel","no","Beaver","t9","t6","outer","t9","left","5",4643,1
"19","095589b36fa383ef27ab169ca9c38605","8","cue_strength_controls","lookLabel","abs","Mouse","t7","t17","outer","t7","left","6",4042,1
"20","095589b36fa383ef27ab169ca9c38605","9","cue_strength_controls","lookLabel","no","Tiger","t4","t11","outer","t11","right","7",4455,1
"21","095589b36fa383ef27ab169ca9c38605","10","cue_strength_controls","lookLabel","no","Monkey","t14","t2","outer","t2","right","8",4605,1
"22","095589b36fa383ef27ab169ca9c38605","11","cue_strength_controls","lookLabel","bar","Bunny","t13","t3","outer","t13","left","9",4816,1
"23","09a403b7024081b7ca8bbd069a46e214","1","cue_strength_controls","label","no","Elephant","car","bear","inner","car","left","train",6304,1
"24","09a403b7024081b7ca8bbd069a46e214","2","cue_strength_controls","label","no","Pig","duck","ball","outer","ball","right","train",8105,1
"25","09a403b7024081b7ca8bbd069a46e214","3","cue_strength_controls","lookLabel","bar","Frog","t18","t16","outer","t16","left","1",13416,0
"26","09a403b7024081b7ca8bbd069a46e214","4","cue_strength_controls","lookLabel","abs","Sheep","t1","t13","inner","t13","left","2",18238,1
"27","09a403b7024081b7ca8bbd069a46e214","5","cue_strength_controls","lookLabel","abs","Cat","t14","t3","outer","t14","right","3",10953,0
"28","09a403b7024081b7ca8bbd069a46e214","6","cue_strength_controls","lookLabel","bar","Mouse","t10","t12","inner","t10","right","4",12991,0
"29","09a403b7024081b7ca8bbd069a46e214","7","cue_strength_controls","lookLabel","no","Bunny","t7","t15","outer","t15","left","5",5457,0
"30","09a403b7024081b7ca8bbd069a46e214","8","cue_strength_controls","lookLabel","no","Bear","t6","t8","outer","t6","right","6",8724,0
"31","09a403b7024081b7ca8bbd069a46e214","9","cue_strength_controls","lookLabel","no","Dog","t2","t4","inner","t2","right","7",11255,0
"32","09a403b7024081b7ca8bbd069a46e214","10","cue_strength_controls","lookLabel","bar","Beaver","t11","t9","outer","t11","right","8",11199,0
"33","09a403b7024081b7ca8bbd069a46e214","11","cue_strength_controls","lookLabel","abs","Elephant","t5","t17","outer","t17","left","9",11778,0
"34","0b6f6b78483cc2b718255e94c64f2ee2","1","cue_strength_controls","label","no","Elephant","car","bear","inner","car","left","train",6113,1
"35","0b6f6b78483cc2b718255e94c64f2ee2","2","cue_strength_controls","label","no","Pig","duck","ball","outer","ball","right","train",5664,1
"36","0b6f6b78483cc2b718255e94c64f2ee2","3","cue_strength_controls","lookLabel","abs","Cat","t14","t18","inner","t18","left","1",10963,0
"37","0b6f6b78483cc2b718255e94c64f2ee2","4","cue_strength_controls","lookLabel","no","Mouse","t15","t16","inner","t16","left","2",6529,0
"38","0b6f6b78483cc2b718255e94c64f2ee2","5","cue_strength_controls","lookLabel","abs","Sheep","t3","t9","outer","t9","left","3",6218,0
"39","0b6f6b78483cc2b718255e94c64f2ee2","6","cue_strength_controls","lookLabel","bar","Monkey","t12","t8","outer","t8","left","4",7730,0
"40","0b6f6b78483cc2b718255e94c64f2ee2","7","cue_strength_controls","lookLabel","no","Bear","t1","t2","inner","t1","right","5",9433,0
"41","0b6f6b78483cc2b718255e94c64f2ee2","8","cue_strength_controls","lookLabel","bar","Bunny","t17","t5","inner","t17","right","6",10883,0
"42","0b6f6b78483cc2b718255e94c64f2ee2","9","cue_strength_controls","lookLabel","bar","Dog","t6","t10","inner","t6","right","7",7842,0
"43","0b6f6b78483cc2b718255e94c64f2ee2","10","cue_strength_controls","lookLabel","no","Frog","t11","t13","outer","t13","left","8",4666,0
"44","0b6f6b78483cc2b718255e94c64f2ee2","11","cue_strength_controls","lookLabel","abs","Tiger","t7","t4","outer","t7","right","9",8305,0
"45","11faa729d749f0bdda92d7b5f92644f2","1","cue_strength_controls","label","no","Elephant","car","bear","inner","car","left","train",6893,1
"46","11faa729d749f0bdda92d7b5f92644f2","2","cue_strength_controls","label","no","Pig","duck","ball","outer","ball","right","train",6645,1
"47","11faa729d749f0bdda92d7b5f92644f2","3","cue_strength_controls","lookLabel","bar","Elephant","t2","t16","inner","t16","right","1",11744,1
"48","11faa729d749f0bdda92d7b5f92644f2","4","cue_strength_controls","lookLabel","bar","Tiger","t9","t17","outer","t17","right","2",9070,1
