"","id","alltrial","experiment","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"51","3fc5449fff37cf13b925fee1ac1c3971","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",8024,1
"52","3fc5449fff37cf13b925fee1ac1c3971","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4414,1
"53","3fc5449fff37cf13b925fee1ac1c3971","3","cue_strength_between","point","Mouse","t6","t11","inner","t11","right","1",4088,1
"54","3fc5449fff37cf13b925fee1ac1c3971","4","cue_strength_between","point","Bunny","t2","t9","inner","t2","right","2",5763,0
"55","3fc5449fff37cf13b925fee1ac1c3971","5","cue_strength_between","point","Frog","t12","t3","outer","t12","left","3",3907,1
"56","3fc5449fff37cf13b925fee1ac1c3971","6","cue_strength_between","point","Monkey","t1","t16","inner","t16","right","4",4030,1
"57","3fc5449fff37cf13b925fee1ac1c3971","7","cue_strength_between","point","Pig","t14","t10","inner","t10","right","5",2932,1
"58","3fc5449fff37cf13b925fee1ac1c3971","8","cue_strength_between","point","Dog","t15","t7","inner","t15","left","6",5813,1
"59","3fc5449fff37cf13b925fee1ac1c3971","9","cue_strength_between","point","Tiger","t4","t8","outer","t4","left","7",2489,1
"60","3fc5449fff37cf13b925fee1ac1c3971","10","cue_strength_between","point","Sheep","t5","t17","inner","t5","left","8",1747,1
"61","49d0946e915f409b12e3d3b6884333c3","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5884,1
"62","49d0946e915f409b12e3d3b6884333c3","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",9992,1
"63","49d0946e915f409b12e3d3b6884333c3","3","cue_strength_between","point","Monkey","t12","t17","outer","t12","left","1",2634,1
"64","49d0946e915f409b12e3d3b6884333c3","4","cue_strength_between","point","Mouse","t10","t16","inner","t10","left","2",2633,1
"65","49d0946e915f409b12e3d3b6884333c3","5","cue_strength_between","point","Frog","t11","t7","inner","t11","left","3",1023,1
"66","49d0946e915f409b12e3d3b6884333c3","6","cue_strength_between","point","Bunny","t2","t4","inner","t4","right","4",1466,1
"67","49d0946e915f409b12e3d3b6884333c3","7","cue_strength_between","point","Cat","t3","t6","outer","t6","right","5",2287,1
"68","49d0946e915f409b12e3d3b6884333c3","8","cue_strength_between","point","Bear","t14","t15","outer","t15","right","6",1225,1
"69","49d0946e915f409b12e3d3b6884333c3","9","cue_strength_between","point","Tiger","t9","t1","outer","t1","right","7",1111,1
"70","49d0946e915f409b12e3d3b6884333c3","10","cue_strength_between","point","Elephant","t5","t8","outer","t5","left","8",1124,1
"71","6181aa28d428a7e1d8828825fb399191","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",4082,1
"72","6181aa28d428a7e1d8828825fb399191","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4146,1
"73","6181aa28d428a7e1d8828825fb399191","3","cue_strength_between","point","Cat","t11","t14","inner","t14","right","1",2992,1
"74","6181aa28d428a7e1d8828825fb399191","4","cue_strength_between","point","Bear","t2","t4","outer","t2","left","2",5722,1
"75","6181aa28d428a7e1d8828825fb399191","5","cue_strength_between","point","Bunny","t7","t12","outer","t12","right","3",1738,1
"76","6181aa28d428a7e1d8828825fb399191","6","cue_strength_between","point","Tiger","t5","t3","inner","t3","right","4",1625,1
"77","6181aa28d428a7e1d8828825fb399191","7","cue_strength_between","point","Pig","t15","t1","inner","t15","left","5",1102,1
"78","6181aa28d428a7e1d8828825fb399191","8","cue_strength_between","point","Elephant","t16","t8","outer","t16","left","6",1473,1
"79","6181aa28d428a7e1d8828825fb399191","9","cue_strength_between","point","Mouse","t6","t10","outer","t10","right","7",1571,1
"80","6181aa28d428a7e1d8828825fb399191","10","cue_strength_between","point","Frog","t9","t17","inner","t9","left","8",1227,1
"81","7d6f4832b0d40b2091e1517c04448e89","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5126,1
"82","7d6f4832b0d40b2091e1517c04448e89","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",7068,1
"83","7d6f4832b0d40b2091e1517c04448e89","3","cue_strength_between","point","Tiger","t10","t9","outer","t10","left","1",3934,1
"84","7d6f4832b0d40b2091e1517c04448e89","4","cue_strength_between","point","Bunny","t11","t16","inner","t16","right","2",3372,1
"85","7d6f4832b0d40b2091e1517c04448e89","5","cue_strength_between","point","Frog","t2","t15","inner","t2","left","3",1798,1
"86","7d6f4832b0d40b2091e1517c04448e89","6","cue_strength_between","point","Dog","t6","t14","outer","t6","left","4",2150,1
"87","7d6f4832b0d40b2091e1517c04448e89","7","cue_strength_between","point","Elephant","t3","t5","outer","t5","right","5",1935,1
"88","7d6f4832b0d40b2091e1517c04448e89","8","cue_strength_between","point","Bear","t12","t7","inner","t7","right","6",1664,1
"89","7d6f4832b0d40b2091e1517c04448e89","9","cue_strength_between","point","Pig","t17","t8","outer","t17","left","7",1758,1
"90","7d6f4832b0d40b2091e1517c04448e89","10","cue_strength_between","point","Mouse","t4","t1","inner","t1","right","8",1493,1
"91","7fa54d3bbda550fe5a10e62c0ce82484","1","cue_strength_between","label","Elephant","car","bear","inner","bear","left","train",6543,0
